County,Latitude,Longitude,Owns,Rented/Leased,Free: Family,Free: Others,Communal,Other,Total Count
Baringo,0.512912,35.952537,70.80%,21.90%,5.20%,1.20%,0.80%,0.10%,108764
Bomet,-0.690131,35.278005,64.50%,4.80%,30%,0.70%,0%,0%,170365.4
Bungoma,0.737046,34.672536,72.70%,18.70%,7.20%,0.90%,0%,0%,318623.3
Busia,0.428414,34.210571,64.10%,22.20%,7.50%,6.10%,0.20%,0%,168573.8
Elgeyo Marakwet,0.806011,35.564093,69.50%,15.40%,7%,1.50%,6.50%,0%,84561.2
Embu,-0.5982,37.653906,62.20%,10.90%,17.40%,4.70%,0.40%,4.40%,139731.2
Garissa,-0.564679,40.408457,55.60%,0%,44.40%,0%,0%,0%,5055.3
Homa Bay,-0.640985,34.411083,84.90%,8.70%,4.70%,1.20%,0%,0.40%,284301.1
Isiolo,0.949302,38.614718,84.20%,1.90%,4.80%,7.90%,1.20%,0%,6867.4
Kajiado,-2.221971,36.980268,62.80%,29%,8.20%,0%,0%,0%,34900.6
Kakamega,0.308499,34.654844,83.40%,9.60%,5.50%,1.50%,0%,0%,349417.3
Kericho,-0.297842,35.319833,65%,6.90%,27.70%,0.40%,0%,0%,98434.4
Kiambu,-1.060698,36.79929,56.70%,20.10%,5.30%,17.60%,0.30%,0%,339640.6
Kilifi,-3.279972,39.63501,90.40%,3%,4.50%,1.30%,0%,0%,150020.6
Kirinyaga,-0.517766,37.302006,67.30%,12.70%,20%,0%,0%,0%,155036.8
Kisii,-0.782524,34.766895,65%,23.30%,10.90%,0.80%,0%,0%,255453.5
Kisumu,-0.167225,34.953647,78.30%,10.70%,5.30%,5.20%,0.40%,0.20%,175109.8
Kitui,-1.519146,38.376101,87.10%,3.10%,6.30%,2.90%,0.60%,0%,291334.9
Kwale,-4.242667,39.174233,36.70%,5.10%,32.80%,17.60%,0.90%,6.90%,111167.8
Laikipia,0.311627,36.814178,67.40%,9.40%,16.40%,6.80%,0%,0%,71538
Lamu,-2.03752,40.688214,69.80%,6.50%,6.60%,4.30%,9.80%,3%,9295.4
Machakos,-1.327138,37.352277,81.20%,5.60%,8.40%,3.10%,0%,1.60%,324371.1
Makueni,-2.211917,37.865047,73.70%,5.50%,19.60%,1%,0%,0.20%,253612.9
Mandera,3.46712,40.704671,100%,0%,0%,0%,0%,0%,11903.8
Marsabit,2.772167,37.76822,76%,1.40%,19.20%,3.40%,0%,0%,12620.7
Meru,0.159398,37.750761,70%,14.80%,11.10%,2.80%,1%,0.10%,428581.8
Migori,-1.008592,34.42681,72.80%,21.80%,3.50%,1.90%,0%,0%,204407.1
Mombasa,-3.998813,39.632129,73.60%,0%,0%,26.40%,0%,0%,2425.2
Murang'a,-0.804314,37.035566,67.10%,15.10%,14.60%,3%,0%,0.20%,271902.5
Nairobi,-1.296975,36.844534,77.70%,19.40%,0%,2.90%,0%,0%,8509.6
Nakuru,-0.385212,36.036261,47.90%,39.20%,8.20%,4.70%,0%,0%,205210.9
Nandi,0.143371,35.156125,76.90%,10.80%,11.80%,0.50%,0%,0%,131723.5
Narok,-1.227452,35.686784,63.40%,24.50%,10.70%,0.90%,0.50%,0%,130083.3
Nyamira,-0.644917,34.955612,64.40%,25%,9.90%,0%,0%,0.70%,122508.3
Nyandarua,-0.374727,36.494076,75.60%,18%,6.10%,0.30%,0%,0%,110088.3
Nyeri,-0.407168,36.965186,68%,12.60%,19.40%,0%,0%,0%,162426.7
Samburu,1.183862,37.184377,83.50%,0%,3.30%,0%,13.30%,0%,7950.7
Siaya,0.039184,34.279374,79.70%,10.90%,5%,4.20%,0.30%,0%,325285.4
Taita Taveta,-3.551502,38.376101,73.40%,1.80%,16.70%,8.10%,0%,0%,75998
Tana River,-1.584971,39.536272,71.60%,3.50%,0.90%,6.30%,7.50%,10.20%,13954.1
Tharaka Nithi,-0.227324,37.882411,81.10%,11.50%,7%,0.40%,0%,0%,31067.3
Trans Nzoia,1.030597,34.949297,62.90%,27.70%,5.80%,2.60%,0%,1%,107723.6
Turkana,3.318344,35.401457,86.90%,0%,6.60%,6.60%,0%,0%,7965.6
Uasin Gishu,0.555288,35.306307,73.70%,15%,10.10%,1.20%,0%,0%,95584.5
Vihiga,0.0785,34.717749,87%,6.20%,6%,0.10%,0%,0.70%,120534.8
Wajir,1.895541,40.07933,0%,0%,0%,0%,0%,0%,0
West Pokot,1.575837,35.316901,72.30%,6.20%,2%,1%,17.70%,0.80%,64965.3
