cartodb_id,the_geom,year,value,domain,data_item,county,state
90,,2012,"275,836",TOTAL,FARM OPERATIONS - ACRES OPERATED,LOGAN,KENTUCKY
91,,2012,"124,379",TOTAL,FARM OPERATIONS - ACRES OPERATED,MCLEAN,KENTUCKY
92,,2012,"128,761",TOTAL,FARM OPERATIONS - ACRES OPERATED,MUHLENBERG,KENTUCKY
93,,2012,"158,244",TOTAL,FARM OPERATIONS - ACRES OPERATED,OHIO,KENTUCKY
94,,2012,"101,530",TOTAL,FARM OPERATIONS - ACRES OPERATED,SIMPSON,KENTUCKY
95,,2012,"181,001",TOTAL,FARM OPERATIONS - ACRES OPERATED,TODD,KENTUCKY
96,,2012,"194,864",TOTAL,FARM OPERATIONS - ACRES OPERATED,UNION,KENTUCKY
97,,2012,"152,431",TOTAL,FARM OPERATIONS - ACRES OPERATED,WEBSTER,KENTUCKY
98,,2012,"67,211",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOONE,KENTUCKY
100,,2012,"42,164",TOTAL,FARM OPERATIONS - ACRES OPERATED,CAMPBELL,KENTUCKY
101,,2012,"53,562",TOTAL,FARM OPERATIONS - ACRES OPERATED,CARROLL,KENTUCKY
102,,2012,"27,783",TOTAL,FARM OPERATIONS - ACRES OPERATED,GALLATIN,KENTUCKY
103,,2012,"98,372",TOTAL,FARM OPERATIONS - ACRES OPERATED,GRANT,KENTUCKY
104,,2012,"128,509",TOTAL,FARM OPERATIONS - ACRES OPERATED,HENRY,KENTUCKY
105,,2012,"38,144",TOTAL,FARM OPERATIONS - ACRES OPERATED,KENTON,KENTUCKY
106,,2012,"60,354",TOTAL,FARM OPERATIONS - ACRES OPERATED,OLDHAM,KENTUCKY
107,,2012,"131,959",TOTAL,FARM OPERATIONS - ACRES OPERATED,OWEN,KENTUCKY
108,,2012,"101,299",TOTAL,FARM OPERATIONS - ACRES OPERATED,PENDLETON,KENTUCKY
109,,2012,"55,632",TOTAL,FARM OPERATIONS - ACRES OPERATED,TRIMBLE,KENTUCKY
110,,2012,"107,186",TOTAL,FARM OPERATIONS - ACRES OPERATED,BALLARD,KENTUCKY
111,,2012,"176,076",TOTAL,FARM OPERATIONS - ACRES OPERATED,CALLOWAY,KENTUCKY
113,,2012,"83,382",TOTAL,FARM OPERATIONS - ACRES OPERATED,FULTON,KENTUCKY
114,,2012,"291,813",TOTAL,FARM OPERATIONS - ACRES OPERATED,GRAVES,KENTUCKY
115,,2012,"141,131",TOTAL,FARM OPERATIONS - ACRES OPERATED,HICKMAN,KENTUCKY
116,,2012,"123,200",TOTAL,FARM OPERATIONS - ACRES OPERATED,LIVINGSTON,KENTUCKY
117,,2012,"41,638",TOTAL,FARM OPERATIONS - ACRES OPERATED,LYON,KENTUCKY
118,,2012,"94,879",TOTAL,FARM OPERATIONS - ACRES OPERATED,MARSHALL,KENTUCKY
119,,2012,"67,192",TOTAL,FARM OPERATIONS - ACRES OPERATED,MCCRACKEN,KENTUCKY
120,,2012,"128,997",TOTAL,FARM OPERATIONS - ACRES OPERATED,TRIGG,KENTUCKY
121,,2007,"87,617",TOTAL,FARM OPERATIONS - ACRES OPERATED,ANDERSON,KENTUCKY
122,,2007,"129,057",TOTAL,FARM OPERATIONS - ACRES OPERATED,BATH,KENTUCKY
123,,2007,"184,323",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOURBON,KENTUCKY
124,,2007,"94,233",TOTAL,FARM OPERATIONS - ACRES OPERATED,BOYLE,KENTUCKY
125,,2007,"149,201",TOTAL,FARM OPERATIONS - ACRES OPERATED,CLARK,KENTUCKY
126,,2007,"135,969",TOTAL,FARM OPERATIONS - ACRES OPERATED,FAYETTE,KENTUCKY
127,,2007,"181,608",TOTAL,FARM OPERATIONS - ACRES OPERATED,FLEMING,KENTUCKY
